index,title,type,description,genre,cast,creators
0,Fullmetal Alchemist The Revenge of Scar,movie,"In this sequel to the first feature film, the Elric brothers meet their toughest opponent yet — a lone serial killer with a large scar on his forehead.","[""Action & Adventure"",""Dramas"",""Sci-Fi Films"",""Japanese""]","[""Akaji Maro"",""Atomu Mizuishi"",""Dean Fujioka"",""Hiroshi Tachi"",""Kanata Hongo"",""Kaoru Okunuki"",""Keiko Horiuchi"",""Keisuke Watanabe"",""Koji Yamamoto"",""Kokoro Terada"",""Misako Renbutsu"",""Naohito Fujiki"",""Ron Monroe"",""Ryosuke Yamada"",""Shinji Uchiyama"",""Toshio Kakei"",""Tsubasa Honda"",""Tsutomu Takahashi"",""Yuina Kuroshima"",""Yuki Yamada"",""Yusuke Onuki""]","[""Fumihiko Sori""]"
1,Sherdil: The Pilibhit Saga,movie,A determined village leader embarks on a journey in search of a dangerous tiger that’s threatening the livelihood of his people.,"[""Social Issue Dramas"",""Dramas"",""Comedies"",""Independent Movies"",""Hindi-Language Movies"",""Indian""]","[""Ashok Mehra"",""Madhav Jha"",""Masood Akhtar"",""Neeraj Kabi"",""Pankaj Tripathi"",""Sayani Gupta"",""Sohag Sen"",""Vishwanath Chatterjee""]","[""Srijit Mukherji""]"
2,The Next 365 Days,movie,Laura and Massimo&#39;s relationship hangs in the balance as they try to overcome trust issues while a tenacious Nacho works to push them apart.,"[""Dramas"",""Films Based on Books"",""Polish""]","[""Anna-Maria Sieklucka"",""Magdalena Lamparska"",""Michele Morrone"",""Otar Saralidze"",""Simone Susinna""]","[""Barbara Białowąs"",""Tomasz Mandes""]"
3,You Can Do It Dear!,movie,"Throughout his impressive acting career, Haldun Dormen inspired and encouraged his theater students to work hard and follow their dreams.","[""Biographical Documentaries"",""Documentary Films"",""Turkish""]","[""Haldun Dormen""]","[""Selçuk Metin""]"
4,The Throne,movie,"Two sons of a powerful Pedi chief in South Africa struggle for control of their father&#39;s kingdom, forcing others in the household to take sides.","[""African Movies"",""Dramas"",""South African""]","[""Candy Moloi"",""Charles Maja"",""David Mello"",""Sipho Eric Ndlovu""]","[""Percy L. Maboane""]"
5,The Assistant,movie,"After losing his family during his incarceration, an innocent ex-convict seeks revenge with the help of an unhinged assistant.","[""Action & Adventure"",""Malaysian""]","[""Chacko Vadaketh"",""Chew Kin Wah"",""Coby Chong"",""Farali Khan"",""Gavin Yap"",""Hairul Azreen"",""Hannah Hashim"",""Henley Hii"",""Iedil Dzuhrie Alaudin"",""Tony Eusoff""]","[""Adrian Teh""]"
6,Dwindle,movie,"After hijacking a car, two desperate friends find themselves on a perilous journey involving assassins, police and a kidnapped governor.","[""African Movies"",""Social Issue Dramas"",""Dramas"",""Comedies"",""Nollywood""]","[""Bisola Aiyeola"",""Broda Shaggi"",""Demi Banwo"",""Funke Akindele-Bello"",""Gold Ikponmwosa"",""Gregory Ojefua"",""Jibola Dabo"",""Jide Kene Achufusi"",""Lateef Adedimeji"",""Timini Egbuson"",""Tope Olowoniyan""]","[""Dare Olaitan"",""Kayode Kasum""]"
7,Royalteen,movie,A teenager struggles to keep her scandal-ridden past and a big secret from getting out when she strikes up an unlikely romance with the crown prince.,"[""Teen Films"",""Social Issue Dramas"",""Dramas"",""Romantic Films"",""Films Based on Books"",""Norwegian""]","[""Amalie Sporsheim"",""Elli Müller Osborne"",""Filip Bargee Ramberg"",""Ina Dajanna Ervik"",""Ines Høysæter Asserson"",""Mathias Storhøi"",""Petter Width Kristiansen"",""Veslemøy Mørkrid""]","[""Emilie Beck"",""Per-Olav Sørensen""]"
8,Look Both Ways,movie,"On the night of her college graduation, Natalie&#39;s life splits into parallel realities after she takes a pregnancy test. What will life and love bring?","[""Romantic Comedies"",""Dramas"",""Comedies"",""Romantic Films""]","[""Aisha Dee"",""Andrea Savage"",""Danny Ramirez"",""David Corenswet"",""Lili Reinhart"",""Luke Wilson"",""Nia Long""]","[""Wanuri Kahiu""]"
9,Tim Dillon: A Real Hero,movie,"Tim Dillon rants about fast food, living in Texas, Disney adults and the reason no one should be called a hero.","[""Comedies"",""Stand-up Comedy""]","[""Tim Dillon""]","[""Ben Avery""]"
10,13: The Musical,movie,"After moving from New York to Indiana in the wake of his parents&#39; divorce, a clever middle schooler is determined to throw the best bar mitzvah ever.","[""Kids & Family Movies"",""Comedies"",""Musicals"",""Family Movies"",""Kids Music""]","[""Debra Messing"",""Eli Golden"",""Frankie McNellis"",""Gabriella Uhl"",""JD McCrary"",""Jonathan Lengel"",""Josh Peck"",""Kayleigh Cerezo"",""Khiyla Aynne"",""Liam Wignall"",""Lindsey Blackwell"",""Luke Islam"",""Nolen Dubuc"",""Peter Hermann"",""Ramon Reed"",""Rhea Perlman"",""Shechinah Mpumlwana"",""Willow Moss""]","[""Tamra Davis""]"
11,The Razz Guy,movie,"While preparing for an important business deal, an arrogant executive loses control of his voice after being cursed by an office cleaner.","[""African Movies"",""Comedies"",""Nollywood""]","[""Broda Shaggi"",""Charles Etubiebi"",""Frank Donga"",""Ibrahim Suleiman"",""Imoh Eboh"",""Lasisi Elenu"",""MC Lively"",""Nancy Isime"",""Omotunde Adebowale David"",""Yemi Solade""]","[""Udoka Oyeka""]"
12,Shabaash Mithu (Hindi),movie,"From child prodigy to trailblazing captain, sports icon Mithali Raj navigates the highs and lows of professional cricket in this coming-of-age drama.","[""Movies Based on Real Life"",""Social Issue Dramas"",""Sports Movies"",""Bollywood Movies"",""Dramas"",""Hindi-Language Movies"",""Indian""]","[""Geeta Agrawal Sharma"",""Inayat Verma"",""Kasturi Jagnam"",""Mumtaz Sorcar"",""Sampa Mandal"",""Shilpi Marwaha"",""Taapsee Pannu"",""Vijay Raaz""]","[""Srijit Mukherji""]"
13,Office Invasion,movie,Three best friends band together to defend their valuable mining company from monstrous aliens looking to plunder and exterminate.,"[""African Movies"",""Comedies"",""Sci-Fi Movies"",""South African""]","[""Aimee Ntuli"",""Desmond Dube"",""Greg Viljoen"",""Kiroshan Naidoo"",""Rea Rangaka"",""Sechaba Ramphele"",""Stevel Marc""]","[""Fred Wolmarans"",""Gareth Crocker""]"
14,Nikamma,movie,A lazy slacker struggles to get along with his diligent sister-in-law — until they must step up and fight together against a common enemy.,"[""Action & Adventure"",""Bollywood Movies"",""Romantic Movies"",""Hindi-Language Movies"",""Indian""]","[""Abhimanyu Dassani"",""Abhimanyu Singh"",""Sachin Khedekar"",""Samir Soni"",""Shilpa Shetty"",""Shirley Setia""]","[""Sabbir Khan""]"
15,Heartsong,movie,"While serenading a wedding that quickly implodes, a nomadic musician falls for the bride, who runs afoul of her family. Now he has to save her life.","[""Music"",""Romantic Comedies"",""Dramas"",""Comedies"",""Romantic Movies"",""Turkish""]","[""Ali Seçkiner Alıcı"",""Asiye Dinçsoy"",""Bülent Emin Yarar"",""Erkan Kolçak Köstendil"",""Ferit Kaya"",""Hazar Ergüçlü"",""Nazmi Kırık"",""Selim Bayraktar"",""Şevval Sam""]","[""Soner Caner""]"
16,Day Shift,movie,An LA vampire hunter has a week to come up with the cash to pay for his kid&#39;s tuition and braces. Trying to make a living these days just might kill him.,"[""Action & Adventure"",""Comedies"",""Horror Movies""]","[""Dave Franco"",""Eric Lange"",""Jamie Foxx"",""Karla Souza"",""Meagan Good"",""Natasha Liu Bordizzo"",""Oliver Masucci"",""Peter Stormare"",""Scott Adkins"",""Snoop Dogg"",""Steve Howey"",""Zion Broadnax""]","[""JJ Perry""]"
17,Code Name: Emperor,movie,An intelligence agent tasked with incriminating a squeaky-clean politician must decide if there are still some lines he won&#39;t cross.,"[""Social Issue Dramas"",""Dramas"",""Thriller Movies"",""Spanish""]","[""Alexandra Masangkay"",""Arón Piper"",""Denis Gómez"",""Fran Lareu"",""Georgina Amorós"",""Laura Domínguez"",""Luis Tosar"",""María Botto"",""Miguel Rellán"",""Santi Prego""]","[""Jorge Coira""]"
18,Bo Burnham: The Inside Outtakes,movie,"Bo Burnham delivers a bonus hour of unused material, cut songs and behind-the-scenes footage from his Emmy-winning musical comedy masterpiece, ""Inside.""","[""Comedies"",""Stand-up Comedy""]","[""Bo Burnham""]","[""Bo Burnham""]"
19,Happy Birthday,movie,"At an upscale hotel, a birthday party and a criminal conspiracy collide as a group of misfits clumsily navigate the consequences of a newly-passed law.","[""Action & Adventure"",""Comedies"",""Telugu-Language Movies"",""Indian""]","[""Lavanya Tripathi"",""Naresh Agastya"",""Satya"",""Vennela Kishore""]","[""Ritesh Rana""]"
20,Reclaim,movie,"Shouldering all of her family&#39;s responsibilities, a mother scrambles to find a bigger apartment for her suddenly crowded household.","[""Chinese Films"",""Dramas"",""Taiwanese""]","[""Alice Ko"",""Johnny Kou"",""Lu Yi-ching"",""Mason Lee"",""Nina Paw"",""Richard Sun"",""Tsao Lan"",""Yu Jia-an""]","[""CJ Wang""]"
21,Rise of the Teenage Mutant Ninja Turtles: The Movie,movie,The teen turtles and their mystic ninja powers are put to the ultimate test when ruthless creatures from another universe look to unleash extreme chaos.,"[""Children & Family Films"",""Comedies""]","[""Ben Schwartz"",""Brandon Mychal Smith"",""Josh Brener"",""Omar Benson Miller""]","[""Andy Suriano"",""Ant Ward""]"
22,Darlings,movie,"Badru hopes her volatile husband will reform if he stops drinking. But when his rage goes too far, she and her mom boldly, albeit clumsily, seek revenge.","[""Bollywood Films"",""Comedies"",""Thrillers"",""Hindi-language Films"",""Indian""]","[""Alia Bhatt"",""Kiran Karmarkar"",""Pooja Swaroop"",""Rajesh Sharma"",""Roshan Mathew"",""Santosh Juvekar"",""Shefali Shah"",""Vijay Maurya"",""Vijay Varma""]","[""Jasmeet K. Reen""]"
23,Carter,movie,"A man wakes up missing his memories. Directed by a mysterious voice from a device in his ear, he sets off on a hostage rescue mission rife with danger.","[""Korean"",""Action & Adventure""]","[""Jeong So-ri"",""Joo Won"",""Kim Bo-min"",""Lee Sung-jae""]","[""Jung Byung-gil""]"
